training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
27.49304,0.4860685,0.021561716,0.18958163,-26.791355,26.791355,1.0995353,-1.70583,-26.805996,-28.297495,5.8968167,-6.206151,54.75883,27.924925,0.4861002,0.021439005,0.17800829,-27.224434,27.224434,0.018528499,-25.883747,-27.225203,-28.339283,0.01805548906326294,90.27745604515076,5000
45.416603,0.40963978,0.018364914,0.16067788,-44.823315,44.823315,0.03622824,-0.691961,-44.82792,-46.55906,0.3990348,-0.33849013,12.305427,45.68503,0.4598106,0.018018387,0.187823,-45.045036,45.045036,0.6213265,-25.284096,-45.12607,-46.584534,0.003231804370880127,106.43648338317871,10000
58.473602,0.43736652,0.022755519,0.15785003,-57.80868,57.80868,3.68564,-0.29704452,-57.927933,-59.927353,15.484855,-23.645704,141.6604,58.39879,0.4561236,0.022275193,0.15523922,-57.719913,57.719913,1.0021452,-0.7518705,-57.84194,-59.837082,0.0033204776287078857,123.03887677192688,15000
67.72203,0.40980512,0.015905607,0.13192852,-67.15317,67.15317,0.45958346,-1.909555,-67.22833,-69.97618,2.8353617,-2.6706216,35.520638,65.438545,0.45415002,0.020409664,0.14632499,-64.7803,64.7803,0.7412921,-1.0518929,-64.92168,-70.01664,0.003479727077484131,140.43751692771912,20000
73.62451,0.39320904,0.016271707,0.14769146,-73.06859,73.06859,0.24325001,-1.0252548,-73.12847,-77.24401,1.6604861,-2.7171078,26.066748,71.929634,0.42103413,0.017734444,0.13063395,-71.33125,71.33125,0.5186759,-0.9335358,-71.42197,-77.21698,0.003553097343444824,158.20300889015198,25000
78.41588,0.34621274,0.014061379,0.12641898,-77.929054,77.929054,0.20270881,-0.25491285,-77.985214,-82.85808,2.4339926,-1.4825349,26.286127,78.41935,0.42891592,0.017275952,0.15178828,-77.81767,77.81767,0.33929312,-0.21885855,-77.88817,-82.822556,0.0035919413089752195,176.16272020339966,30000
84.0197,0.3942961,0.013885176,0.13650276,-83.48655,83.48655,0.2663907,-15.146256,-83.53616,-87.21474,1.1432377,-3.0749748,27.495016,81.37163,0.42911834,0.015774082,0.13791919,-80.78477,80.78477,0.49543163,-0.82070494,-80.873024,-87.20528,0.003613112449645996,194.22828793525696,35000
85.52597,0.3902378,0.016722782,0.13455462,-84.968506,84.968506,0.2489081,-0.17552781,-85.05634,-90.34778,2.2240694,-3.9163523,40.94474,83.17926,0.39439803,0.020700052,0.13642445,-82.57786,82.57786,0.44587076,-0.19959794,-82.71568,-90.3776,0.0036288228511810305,212.37240743637085,40000
87.35541,0.37680757,0.01433226,0.12240304,-86.83528,86.83528,0.1953144,-0.17261682,-86.93223,-92.864456,1.2590538,-0.60497844,21.313381,86.06839,0.32022703,0.01829504,0.11780076,-85.565216,85.565216,0.3872953,-19.086664,-85.71335,-92.78841,0.00363829927444458,230.5639088153839,45000
89.72558,0.37762764,0.014160056,0.11428726,-89.20635,89.20635,0.16343519,-0.44138137,-89.279274,-95.03574,0.9251296,-0.61184084,12.84703,88.897064,0.38136002,0.019613769,0.13777259,-88.319565,88.319565,0.28283727,-1.5262489,-88.4376,-94.6867,0.0036507834911346437,248.81783199310303,50000
89.33393,0.37246317,0.01784981,0.12941006,-88.78297,88.78297,0.19963218,-4.5920873,-88.92499,-96.384735,2.2662973,-0.9697512,24.845661,89.85471,0.39355904,0.019531325,0.12999411,-89.26584,89.26584,0.32593605,-14.094551,-89.376274,-96.0526,0.003658291244506836,267.1092936992645,55000
89.73248,0.32439828,0.018471543,0.11552077,-89.223366,89.223366,0.6328172,-1.1242551,-89.3436,-97.59492,1.5732265,-8.466063,54.18902,88.19091,0.33279946,0.020378504,0.13122375,-87.65433,87.65433,0.36571434,-0.5801561,-87.781105,-97.34651,0.0036516770839691163,285.36768412590027,60000
91.44977,0.38862872,0.020566896,0.13476598,-90.85547,90.85547,0.14641255,-31.849688,-90.96806,-98.69164,0.8317432,-0.90527284,14.324171,90.54341,0.4016459,0.022907212,0.13853765,-89.9127,89.9127,0.4310584,-0.16647169,-90.05079,-98.318504,0.0036445402622222903,303.5903911590576,65000
89.72894,0.33058217,0.021022156,0.112572774,-89.18814,89.18814,0.21706295,-0.5642649,-89.34785,-99.67027,6.713126,-3.1104128,37.94278,88.58354,0.34458107,0.01458687,0.11537812,-88.093094,88.093094,0.5700312,-0.4984287,-88.22002,-98.99905,0.0036331623554229737,321.7562086582184,70000
92.33122,0.35676056,0.017969456,0.14060712,-91.79477,91.79477,0.17287919,-31.138863,-91.89848,-100.35115,1.2073302,-1.0809913,19.440453,91.74172,0.40707102,0.019653413,0.11517461,-91.138115,91.138115,0.2822977,-31.05971,-91.2264,-99.58164,0.003629832124710083,339.90537548065186,75000
