training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
24.885561,0.44779938,0.019926548,0.182586,-24.238497,24.238497,0.21870826,-1.4810891,-24.27066,-26.089458,2.6966903,-4.3781567,37.839096,24.981424,0.47249815,0.019747533,0.19395174,-24.311451,24.311451,0.6685372,-2.3848808,-24.29488,-26.595959,0.016906278467178345,84.5314028263092,5000
42.433163,0.36699504,0.020454742,0.15361679,-41.86162,41.86162,0.13795082,-1.4405056,-41.89289,-44.04546,3.2221029,-2.995125,35.457283,42.201645,0.44543335,0.020147247,0.18382788,-41.55474,41.55474,0.15815285,-0.9759858,-41.593304,-44.11736,0.002645299005508423,97.75790405273438,10000
55.217186,0.43469203,0.015986029,0.18121128,-54.622635,54.622635,0.40496778,-1.2220684,-54.668205,-57.684017,3.9523273,-3.4581573,38.624683,55.270004,0.4477353,0.014978437,0.15401477,-54.672485,54.672485,0.68016493,-6.2211256,-54.730545,-57.529785,0.00262907452583313,110.90328240394592,15000
64.77337,0.42699558,0.015153639,0.14946648,-64.19484,64.19484,0.20665607,-0.40640348,-64.225624,-67.73678,3.222406,-3.1052508,25.675625,64.63558,0.43419898,0.016619852,0.16344216,-64.03519,64.03519,0.47028667,-8.938892,-64.16282,-67.72234,0.0026864176750183108,124.33537578582764,20000
73.46957,0.38695455,0.013196094,0.119432405,-72.95065,72.95065,0.100503914,-0.3966277,-73.02456,-75.29892,1.3854518,-0.9427979,16.653023,73.15562,0.3987766,0.015509347,0.1447654,-72.601746,72.601746,0.48663947,-0.987799,-72.63852,-75.274124,0.002778863525390625,138.22969913482666,25000
78.43626,0.3462306,0.01338639,0.13172194,-77.95616,77.95616,0.28573632,-4.386665,-78.03137,-81.16474,3.765417,-2.758171,31.375645,78.27374,0.40499306,0.012906073,0.13484514,-77.739685,77.739685,0.40901104,-0.27140555,-77.74654,-81.18982,0.0028489886283874512,152.4746482372284,30000
82.76998,0.44801754,0.01289163,0.12405573,-82.19305,82.19305,0.62118655,-0.5213425,-82.240814,-85.9202,8.681969,-4.858877,53.63092,82.60567,0.4135654,0.014416965,0.12837881,-82.047935,82.047935,0.33664095,0.40288073,-82.10957,-85.87025,0.002886873912811279,166.9090232849121,35000
86.59137,0.3892842,0.014546007,0.12649031,-86.056625,86.056625,0.21056682,-0.3291694,-86.12273,-90.18745,1.542834,-0.86965096,17.780607,86.52749,0.43415546,0.0149951335,0.14567393,-85.94338,85.94338,0.51630974,-1.2317076,-86.00726,-90.095535,0.002910057258605957,181.45931482315063,40000
88.82551,0.3567142,0.015409901,0.12670588,-88.3147,88.3147,0.8757548,-8.950817,-88.39932,-92.9429,12.054054,-18.267021,100.58053,85.56049,0.4308174,0.018174127,0.13504153,-84.94794,84.94794,1.6648129,-0.23599538,-85.13536,-92.722916,0.0029241315364837645,196.07997965812683,45000
89.05237,0.3603929,0.014624776,0.114667624,-88.54573,88.54573,0.66866195,-2.2280455,-88.63867,-95.00251,8.772752,-3.7443023,62.431572,87.43081,0.38522124,0.021451367,0.13323027,-86.83108,86.83108,1.2116921,-0.22208586,-87.019615,-95.08072,0.0029411476612091064,210.78572416305542,50000
91.78788,0.35105008,0.019361988,0.12731972,-91.24321,91.24321,0.34446,-10.233429,-91.38059,-97.02917,1.374675,-3.2002392,23.835272,91.001236,0.36027753,0.016123984,0.117841214,-90.47972,90.47972,0.2762315,-1.2949564,-90.56457,-96.975,0.0029544862747192383,225.55816054344177,55000
90.84888,0.35876507,0.01656875,0.12003989,-90.324425,90.324425,0.25344115,-1.0362582,-90.472084,-97.87926,2.8199067,-2.4657378,27.126577,89.564514,0.41768372,0.017825138,0.13416123,-88.96858,88.96858,0.15282412,-0.18100856,-89.07469,-98.02075,0.0029646610736846924,240.38147258758545,60000
90.54492,0.39426264,0.016174711,0.118782654,-89.988914,89.988914,0.3759056,-1.5574133,-90.13422,-98.9543,2.110865,-3.1597526,28.254583,89.99993,0.38586187,0.016845448,0.120704025,-89.44562,89.44562,0.3354311,0.39647275,-89.5424,-98.91976,0.002969763994216919,255.23029828071594,65000
91.31304,0.37425268,0.015523287,0.114120066,-90.783554,90.783554,0.21322268,-2.8885057,-90.89495,-99.79245,0.53128165,-1.5350584,21.60336,90.57389,0.36684284,0.018416768,0.11873259,-90.02288,90.02288,0.27852136,-0.8540745,-90.17273,-99.75618,0.0029821449756622315,270.14102935791016,70000
91.60429,0.35367483,0.016002849,0.107597046,-91.09058,91.09058,0.19247437,-1.0002757,-91.19068,-100.586754,1.2677243,-0.49616903,17.573286,91.30831,0.36558533,0.019333731,0.13033146,-90.74939,90.74939,0.3816273,-0.8037839,-90.891785,-100.732185,0.002982104253768921,285.05155658721924,75000
92.20551,0.3301509,0.013576644,0.10720083,-91.73959,91.73959,0.22790487,0.10364738,-91.84528,-102.65072,1.0402806,-3.8270588,27.116693,91.64723,0.38707376,0.017704088,0.122615136,-91.083115,91.083115,0.29597235,0.009223521,-91.22279,-101.14311,0.00298851203918457,299.99412274360657,80000
91.37613,0.37028664,0.017331082,0.12623079,-90.832535,90.832535,0.16881448,-12.358916,-90.954765,-101.90524,1.2006676,-0.7705287,17.718288,91.79717,0.33094054,0.01573767,0.123597756,-91.30885,91.30885,0.3854971,-3.2431355,-91.41242,-101.48709,0.0029888200759887696,314.9382288455963,85000
93.88788,0.29279703,0.015853826,0.116685316,-93.43655,93.43655,0.2730763,-43.356297,-93.56474,-102.569244,1.2246349,-4.081361,25.568098,93.27573,0.3878773,0.016261937,0.12881182,-92.72523,92.72523,0.2880133,-0.97826225,-92.85171,-101.46142,0.0029802297592163088,329.8393831253052,90000
92.98593,0.3694007,0.015701316,0.12629256,-92.45952,92.45952,0.358289,-2.9030192,-92.56906,-102.72669,3.3366241,-7.672756,40.92184,91.59909,0.40978563,0.018822458,0.13334943,-91.00108,91.00108,0.45397913,0.20093079,-91.14168,-102.33997,0.0029757186889648435,344.7179820537567,95000
92.751015,0.36811993,0.018685628,0.113197565,-92.19604,92.19604,0.21144009,0.07223444,-92.29035,-102.387115,1.1741765,-0.4844366,15.651146,90.59664,0.33370382,0.019698685,0.11097187,-90.06595,90.06595,0.5373799,0.07923296,-90.202126,-102.78768,0.0029739818096160887,359.5878965854645,100000
93.936554,0.36173213,0.017095663,0.11252065,-93.40386,93.40386,0.21199164,-24.833902,-93.4943,-104.61033,0.80220616,-2.545793,21.508322,92.10223,0.33684286,0.018967904,0.12927204,-91.57571,91.57571,0.56474876,-1.1838821,-91.73278,-103.09475,0.013377893543243409,426.4773688316345,105000
93.693306,0.37328628,0.017150603,0.11510443,-93.14851,93.14851,0.25670213,-0.50361925,-93.25514,-105.155525,1.6236082,-1.1909813,19.280588,92.64429,0.35441464,0.018792454,0.11611004,-92.10195,92.10195,0.20290697,0.1626441,-92.24025,-104.21918,0.0026945810794830323,439.9502787590027,110000
93.81007,0.35593903,0.017297752,0.10861723,-93.28115,93.28115,0.4544975,-1.0597467,-93.445984,-109.39151,10.97814,-3.805879,64.44701,93.36029,0.3770756,0.016952615,0.1243601,-92.81369,92.81369,0.27597532,-5.89809,-92.969864,-103.34607,0.002836550521850586,454.13303685188293,115000
93.61777,0.34315228,0.015581121,0.11464208,-93.118805,93.118805,0.25629002,0.14001462,-93.2195,-104.840904,1.3838682,-2.600228,21.881325,92.45593,0.35767454,0.017159147,0.11179156,-91.92667,91.92667,0.62674755,-0.093400046,-92.12141,-103.62562,0.0029193697452545167,468.72989153862,120000
93.3175,0.37704435,0.019099355,0.10972685,-92.74946,92.74946,0.26622295,0.3946423,-92.892654,-105.62385,2.2337437,-2.007894,26.355917,92.4695,0.3826549,0.022483189,0.12321822,-91.86201,91.86201,0.4117465,0.3487895,-91.95122,-103.479126,0.0029547351837158203,483.503573179245,125000
