training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
29.52367,0.4860685,0.021985974,0.18900344,-28.817741,28.817741,2.1387255,-11.50147,-28.820133,-30.135843,4.2980223,-4.8200417,51.42057,29.644192,0.4861002,0.022069935,0.17761782,-28.937393,28.937393,0.031285264,-25.386946,-28.939983,-30.135069,0.01872069225311279,93.60347247123718,5000
50.464447,0.40963978,0.019064201,0.16027868,-49.864166,49.864166,1.0783539,-6.953216,-49.87429,-53.31783,3.3124738,-4.272251,57.618713,51.092613,0.4598106,0.018650588,0.18780291,-50.446297,50.446297,0.8250129,-38.808887,-50.50878,-53.273582,0.0038084674835205078,112.64581608772278,10000
66.06531,0.43736652,0.047535628,0.17591634,-65.15259,65.15259,16.510685,-1.1980981,-65.89288,-71.749825,141.88914,-95.12865,897.53253,66.481155,0.4561236,0.04598804,0.18096143,-65.565155,65.565155,2.1008835,-3.2788656,-66.16048,-71.941574,0.00397850661277771,132.53835582733154,15000
69.160934,0.40980512,0.022189654,0.13691577,-68.529236,68.529236,0.71540797,-2.8953066,-68.754196,-79.74546,2.7416945,-2.6773233,67.12324,65.90372,0.45415002,0.02646115,0.15322319,-65.18495,65.18495,1.4293822,-1.1106611,-65.44704,-79.763405,0.004124130439758301,153.15901398658752,20000
69.85615,0.39320904,0.030127402,0.15834454,-69.16167,69.16167,0.7942196,-0.65456116,-69.51632,-87.18148,2.1235814,-6.6213884,90.25881,67.56506,0.42103413,0.03278512,0.14661716,-66.81618,66.81618,0.8802787,-0.572465,-67.27248,-87.16806,0.00420784649848938,174.19825291633606,25000
75.39044,0.34621274,0.024446812,0.12700418,-74.79976,74.79976,0.65582657,-0.44556004,-75.01257,-95.69888,1.9066459,-1.6971049,43.725777,74.310165,0.42891592,0.025906924,0.15830529,-73.62218,73.62218,0.54787344,-0.65837467,-73.84683,-95.32028,0.004243884706497192,195.41768169403076,30000
78.93979,0.3942961,0.019689195,0.14196378,-78.3486,78.3486,0.43846622,-5.101387,-78.5361,-95.2661,0.8606151,-5.0006676,46.839134,76.758125,0.42911834,0.021813117,0.14100511,-76.11088,76.11088,0.8528892,-0.7598418,-76.35263,-95.016075,0.004258405923843384,216.70971822738647,35000
81.36078,0.3902378,0.018392542,0.13633358,-80.78661,80.78661,0.27694374,-0.44424385,-80.92642,-96.864494,3.645732,-1.5446163,38.351463,78.688644,0.39439803,0.021331256,0.1355398,-78.08093,78.08093,0.5196832,-0.56636965,-78.27637,-96.66824,0.004273817062377929,238.07880926132202,40000
83.54749,0.37680757,0.01606785,0.121946484,-83.01001,83.01001,0.2385721,-2.182123,-83.14842,-99.1554,3.2831674,-9.653608,59.84803,82.72205,0.32022703,0.020683454,0.119489,-82.19499,82.19499,0.31776214,-17.613476,-82.35702,-99.00833,0.004287915229797363,259.5183906555176,45000
87.16311,0.37762764,0.014160594,0.116199635,-86.643875,86.643875,0.20224406,-0.6247643,-86.741394,-101.36443,0.86542195,-10.055259,57.730453,86.16842,0.38136002,0.021087945,0.13681388,-85.57618,85.57618,0.2517441,-0.5409597,-85.72006,-99.8775,0.004292528772354126,280.98104095458984,50000
