training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
24.42527,0.47908452,0.023867495,0.18587175,-23.70751,23.70751,0.0963551,-0.7970025,-23.748549,-25.705784,0.5176023,-0.55377305,18.02427,24.52575,0.48275536,0.021562973,0.17344089,-23.827364,23.827364,0.16834062,-0.93869346,-23.845243,-26.074436,0.024990262269973754,124.95138788223267,5000
40.892982,0.43534517,0.021603532,0.16557388,-40.241604,40.241604,0.13795984,0.10728509,-40.324814,-43.511066,2.3958652,-1.3372027,31.328644,41.19063,0.51043004,0.021274114,0.18316868,-40.46746,40.46746,0.12803115,-1.0241835,-40.56447,-43.699722,0.020699758863449096,228.45019674301147,10000
53.84308,0.42554468,0.01658374,0.17372453,-53.251698,53.251698,0.22052182,-0.20268695,-53.292618,-57.008358,0.9973207,-0.97480434,16.782135,53.442997,0.44204482,0.016546994,0.15672615,-52.835484,52.835484,0.8433541,-1.0226187,-52.899666,-56.974354,0.004117882633209229,249.0396285057068,15000
63.36841,0.3796038,0.018059308,0.16133781,-62.808212,62.808212,0.48982504,-8.333895,-62.914112,-67.02902,4.7999935,-3.1365757,46.558548,63.670204,0.40352368,0.01717312,0.15801887,-63.094948,63.094948,0.20429946,0.13862911,-63.181236,-67.06681,0.004122217082977295,269.6507303714752,20000
70.03269,0.36447567,0.02099748,0.13372438,-69.458244,69.458244,0.35746002,-0.31524327,-69.58978,-75.13093,5.0305667,-2.8813694,42.682854,68.6764,0.42438686,0.023968136,0.15422732,-68.01233,68.01233,0.48005325,0.14738455,-68.17981,-75.1339,0.004100009107589722,290.15079259872437,25000
73.12456,0.43625036,0.020753581,0.13884142,-72.480774,72.480774,0.34471297,0.34486604,-72.63286,-81.22709,1.0578903,-1.6738136,19.901232,73.06147,0.42317748,0.024842015,0.13262175,-72.38987,72.38987,0.5200058,-2.5056422,-72.64249,-81.29778,0.004108245420455933,310.69203329086304,30000
74.40118,0.40146732,0.025604928,0.13498259,-73.74366,73.74366,0.30436197,0.15951881,-73.97484,-85.9712,1.8569201,-3.9379265,36.979214,76.92057,0.39980787,0.024959534,0.14402302,-76.271164,76.271164,0.32459676,-19.941433,-76.49524,-85.981606,0.004104852962493896,331.2163369655609,35000
78.65946,0.36690897,0.016847573,0.12562579,-78.12408,78.12408,0.3424193,0.018540144,-78.249435,-89.88379,3.1405084,-2.754124,28.157364,78.00019,0.40696675,0.024637783,0.1481336,-77.34685,77.34685,1.0327498,-0.416618,-77.54823,-89.906685,0.004091506862640381,351.6738977432251,40000
80.23238,0.4049313,0.018914763,0.12605295,-79.638306,79.638306,0.3768648,-0.17374015,-79.826225,-93.111115,2.4949806,-3.4197054,33.433895,80.21456,0.41215155,0.024264202,0.14694116,-79.55977,79.55977,0.55561525,-14.070145,-79.82237,-92.8934,0.004111613273620605,372.23199367523193,45000
82.104614,0.40773022,0.017849447,0.13497499,-81.51839,81.51839,0.4787882,-0.08549115,-81.731155,-95.25019,2.1460376,-4.20339,39.655407,80.21867,0.40564713,0.021446753,0.14101435,-79.59856,79.59856,0.42957848,-9.434748,-79.805954,-95.32626,0.004098102331161499,392.7225399017334,50000
82.840675,0.3397354,0.023066208,0.120317966,-82.27028,82.27028,0.23291022,-0.38997054,-82.50035,-97.11596,1.677286,-1.4380063,22.939219,83.14782,0.357699,0.021699939,0.12664573,-82.57312,82.57312,0.4454977,-16.323454,-82.83185,-96.96732,0.004135203695297241,413.3985743522644,55000
82.515945,0.3842951,0.022426432,0.1396586,-81.90739,81.90739,0.33839822,-0.28657347,-82.16794,-98.57245,1.8336173,-3.488653,30.643229,82.16352,0.4169289,0.02253215,0.13238344,-81.52127,81.52127,0.7405902,-9.731356,-81.72954,-98.742615,0.004491481113433838,435.85599875450134,60000
84.18428,0.3905994,0.021924276,0.11418202,-83.57444,83.57444,0.5263635,-1.0449502,-83.828445,-100.123276,1.7850759,-8.419054,43.37738,85.49997,0.4503649,0.024493389,0.12973788,-84.80467,84.80467,0.34415865,-17.627447,-84.95598,-99.63987,0.005098407554626465,461.34806418418884,65000
83.95012,0.3276818,0.019711096,0.10960691,-83.42532,83.42532,0.5828426,-1.5702717,-83.65222,-100.758385,5.5450673,-2.383647,45.205505,84.760765,0.36876175,0.024247095,0.122420356,-84.149536,84.149536,0.2761348,-10.654778,-84.39653,-100.846115,0.00508263521194458,486.7612557411194,70000
84.49041,0.3707223,0.020029638,0.10891588,-83.91939,83.91939,0.29963154,0.20831807,-84.13097,-101.52299,2.5009017,-2.3039541,25.836061,85.41733,0.40121943,0.022873944,0.11952455,-84.78737,84.78737,0.32986644,-0.5889932,-84.97105,-101.57675,0.005018744325637817,511.85500717163086,75000
