training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
25.8753,0.44779938,0.019669099,0.18188785,-25.230808,25.230808,0.5176307,1.1137111,-25.262106,-26.735065,4.5987377,-2.851835,53.95877,25.923399,0.47249815,0.019839652,0.19341037,-25.252504,25.252504,0.6929233,-1.3082999,-25.247837,-26.917093,0.015963807535171508,79.81904792785645,5000
43.763454,0.36699504,0.02065423,0.1541797,-43.18992,43.18992,0.35809875,-0.18652034,-43.2084,-46.730427,3.9506075,-4.295295,49.64442,43.42012,0.44543335,0.019826092,0.18387403,-42.776424,42.776424,0.28764266,-0.77029955,-42.81704,-55.38843,0.002103923177719116,90.33866930007935,10000
56.778446,0.43469203,0.014981134,0.18187967,-56.193943,56.193943,0.8932436,-1.1669106,-56.219368,-63.18552,8.509461,-13.872181,79.87326,57.351475,0.4477353,0.013897763,0.15487997,-56.764763,56.764763,0.8168893,-8.190172,-56.818546,-67.57206,0.002058414125442505,100.63074469566345,15000
66.30129,0.42699558,0.01589394,0.15101132,-65.715355,65.715355,0.21840522,1.0960188,-65.78526,-73.162544,3.1298819,-1.8614421,23.522755,66.7806,0.43419898,0.018072555,0.16328005,-66.16568,66.16568,1.0253443,-5.3763947,-66.35807,-73.156334,0.0020987627983093263,111.12456345558167,20000
74.89876,0.38695455,0.014411185,0.11950893,-74.36769,74.36769,0.36782724,-0.19626316,-74.50539,-82.271545,4.6714983,-3.102446,34.685432,74.48003,0.3987766,0.018103145,0.14809516,-73.900215,73.900215,0.63808155,0.017827123,-73.95371,-81.87339,0.002162837505340576,121.93875646591187,25000
78.85014,0.3462306,0.018161014,0.13565421,-78.3223,78.3223,0.35454005,-4.887015,-78.49389,-85.649155,3.3954978,-1.8680558,29.270735,79.27349,0.40499306,0.01633082,0.13785163,-78.70519,78.70519,0.41341537,-0.71623546,-78.83301,-85.51578,0.0022180033206939697,133.0287778377533,30000
81.81482,0.44801754,0.018235082,0.1292345,-81.18445,81.18445,0.35844257,0.49881822,-81.320915,-88.44069,4.3245955,-1.356602,30.667852,81.576775,0.4135654,0.020342734,0.1312424,-80.959785,80.959785,0.44799283,0.9045779,-81.12135,-88.25731,0.0022439784049987795,144.2486753463745,35000
84.52835,0.3892842,0.018661419,0.12810653,-83.95245,83.95245,0.93531287,0.37380737,-84.15929,-92.00374,5.6664762,-3.204606,45.56627,84.13684,0.43415546,0.019548502,0.14560595,-83.5072,83.5072,0.7714982,0.13875528,-83.65929,-92.26834,0.0022654589653015138,155.57597541809082,40000
85.28578,0.3567142,0.020437587,0.12800425,-84.72469,84.72469,0.38980764,-7.3916717,-84.911896,-94.61393,2.7222414,-1.7132715,28.590683,82.33682,0.4308174,0.02099945,0.1366916,-81.696014,81.696014,0.88192064,-0.7983674,-81.947655,-94.83487,0.0022786044120788576,166.96900296211243,45000
85.43033,0.3603929,0.01946801,0.121324345,-84.87525,84.87525,0.4900781,-4.819702,-85.10396,-96.6966,2.6543741,-4.55763,35.485588,83.35142,0.38522124,0.026040107,0.13471703,-82.705795,82.705795,0.5332458,-0.7823116,-82.94949,-97.577835,0.002287095642089844,178.40448665618896,50000
86.638,0.35105008,0.02326309,0.12896511,-86.05432,86.05432,0.3489541,-6.2912035,-86.28322,-99.47929,2.3187537,-1.094734,23.16568,86.464096,0.36027753,0.019839343,0.120876566,-85.905426,85.905426,0.3993879,0.99126565,-86.0922,-99.311615,0.0022983325004577635,189.8961534500122,55000
86.379196,0.35876507,0.02088901,0.119500354,-85.81154,85.81154,0.53270996,-0.08741768,-86.04905,-101.16952,6.569173,-7.681672,42.04952,84.67618,0.41768372,0.022329858,0.13531306,-84.035194,84.035194,0.6974412,2.3766422,-84.22356,-99.69984,0.002304555034637451,201.41893482208252,60000
85.60207,0.39426264,0.019485442,0.119659,-85.012955,85.012955,0.4884616,-2.6904502,-85.22104,-100.031654,6.689989,-1.220305,34.47954,83.898056,0.38586187,0.022677194,0.12561736,-83.28542,83.28542,1.0603882,-0.61940956,-83.50016,-99.89995,0.002309264850616455,212.96526384353638,65000
85.28995,0.37425268,0.025773216,0.12326803,-84.65796,84.65796,0.7000866,-2.690121,-85.02611,-101.89981,1.0472074,-0.89264953,21.948772,84.0168,0.36684284,0.031458568,0.13381416,-83.33537,83.33537,0.6804294,-1.7161367,-83.79088,-100.786285,0.002314951705932617,224.5400276184082,70000
84.51962,0.35367483,0.025173053,0.11448826,-83.914215,83.914215,0.5137703,-1.3806489,-84.21005,-103.616165,1.1345658,-1.1942776,21.736372,84.58345,0.36558533,0.026060663,0.13750103,-83.95726,83.95726,0.6845448,0.11088377,-84.21842,-102.9399,0.0023170458316802978,236.12526297569275,75000
82.613045,0.3301509,0.022781305,0.11296566,-82.055084,82.055084,0.5487697,-0.24603902,-82.37237,-102.504166,1.8001938,-1.9244022,25.254333,83.40104,0.38707376,0.024182718,0.12666655,-82.77214,82.77214,0.35725158,-0.26828748,-83.04045,-103.0105,0.002312536907196045,247.6879527568817,80000
83.06191,0.37028664,0.023128087,0.13494928,-82.46034,82.46034,0.39870194,-14.001956,-82.74183,-102.909325,3.7115836,-1.9491613,30.975245,83.60911,0.33094054,0.019719206,0.12714387,-83.08098,83.08098,0.517557,-4.1261115,-83.28319,-102.461044,0.002319152545928955,259.28372049331665,85000
86.038,0.29279703,0.019984389,0.1226023,-85.545364,85.545364,0.26816893,-37.31809,-85.78404,-103.41713,2.5747728,-1.2214435,18.386642,84.60301,0.3878773,0.020438883,0.13055636,-84.01074,84.01074,0.35945743,0.2739298,-84.203995,-103.30214,0.0023258771896362304,270.91311168670654,90000
86.167534,0.3694007,0.017767219,0.12443238,-85.62046,85.62046,0.2733062,-1.2438959,-85.77597,-104.06749,2.3299923,-1.6278605,19.0778,84.66942,0.40978563,0.022809304,0.13723457,-84.03154,84.03154,0.41245747,-0.021753326,-84.25517,-104.22789,0.0023287986755371093,282.55711030960083,95000
84.575966,0.36811993,0.024291148,0.11948475,-83.964935,83.964935,0.41068158,-2.1820447,-84.21946,-102.97327,1.7072613,-3.717612,28.781677,83.91855,0.33370382,0.027295299,0.11565356,-83.31189,83.31189,0.6529352,0.517205,-83.557755,-104.66294,0.0023246529579162597,294.180380821228,100000
