training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
26.961193,0.5184991,0.11393677,0.19320601,-25.303326,25.303326,0.22593771,-18.280243,-25.302803,-26.301504,2.6480396,-2.7051167,46.38001,26.987297,0.5412301,0.11668655,0.19735032,-25.279202,25.279202,0.033582304,-0.99726635,-25.276976,-26.117796,0.0178980082988739,89.49005150794983,5000
43.909588,0.44979823,0.100859985,0.15481094,-42.45119,42.45119,0.15061855,-0.8903459,-42.458748,-44.213173,9.277619,-8.613622,70.5569,44.10305,0.49803942,0.102515414,0.17467572,-42.579857,42.579857,1.2064402,-1.1418839,-42.580467,-43.9559,0.002654419755935669,102.76215672492981,10000
57.895004,0.40866208,0.08270022,0.1442259,-56.65934,56.65934,0.5344838,-41.98923,-56.63147,-57.667534,52.53837,-38.49812,309.75272,56.19503,0.45661688,0.08981794,0.13433227,-54.840233,54.840233,0.9868407,-1.2839153,-54.828133,-57.69937,0.0026309101581573485,115.91671323776245,15000
67.63774,0.41884527,0.07835225,0.12681988,-66.43537,66.43537,0.22515614,-0.18294367,-66.434525,-68.20404,8.205746,-5.3168664,66.44178,67.8882,0.3827966,0.080983445,0.1501033,-66.695564,66.695564,3.5483437,-0.2558886,-66.6837,-68.193245,0.0027257214546203613,129.54532670974731,20000
75.43314,0.4057516,0.07998247,0.1300095,-74.22757,74.22757,0.4423006,-0.48552388,-74.23623,-76.27082,7.8501863,-5.359744,62.31416,75.79908,0.4478643,0.079091154,0.15695684,-74.5603,74.5603,0.54662967,-0.57602715,-74.56665,-76.28276,0.0028026531219482423,143.55859851837158,25000
81.08011,0.38189912,0.07511107,0.13500743,-79.9471,79.9471,2.1431541,-0.97396874,-79.94957,-82.81979,24.747236,-20.20979,168.26157,80.82739,0.40954703,0.08107312,0.15204994,-79.60712,79.60712,0.6978835,-1.498203,-79.66321,-82.81326,0.0028503039360046386,157.8101246356964,30000
86.49364,0.36339808,0.08924164,0.12211801,-85.23782,85.23782,0.09863782,-0.7982022,-85.26283,-87.6742,2.770551,-2.2989955,30.594831,86.10471,0.44012523,0.08889918,0.12715662,-84.7756,84.7756,0.64236784,-1.0374608,-84.824234,-87.56745,0.0028815996646881104,172.21812891960144,35000
89.79111,0.384665,0.08474031,0.15296817,-88.55904,88.55904,0.22553757,-14.176072,-88.5574,-90.84369,6.2192583,-5.4298067,47.429733,88.70427,0.39287454,0.08429327,0.13422602,-87.46846,87.46846,0.12681255,-0.49238425,-87.46258,-90.82083,0.002890769147872925,186.67197966575623,40000
92.45862,0.34538105,0.075149804,0.122624144,-91.36174,91.36174,0.28307852,-0.6092809,-91.36766,-93.66432,11.477845,-9.241125,76.32616,92.868004,0.38299784,0.079651326,0.13570714,-91.68849,91.68849,0.10544583,0.41344786,-91.68469,-93.597336,0.0028899625778198244,201.12179803848267,45000
93.11518,0.38420036,0.07888846,0.12378211,-91.94209,91.94209,0.40956214,-0.2694187,-92.018265,-95.9534,10.619862,-6.6469393,69.78783,94.18734,0.39889702,0.07853708,0.11746871,-93.003075,93.003075,1.6836851,-2.4425395,-93.01088,-96.23543,0.0028936623096466065,215.59011507034302,50000
