training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
25.9382,0.5184991,0.022588111,0.19362846,-25.193819,25.193819,0.21385132,-10.036089,-25.214413,-27.02671,3.634582,-1.8893666,43.418434,26.003315,0.5412301,0.023505397,0.19713193,-25.227032,25.227032,0.095403,-0.32306013,-25.220522,-26.632946,0.0157404345035553,78.70218300819397,5000
43.175312,0.44979823,0.017668355,0.15198319,-42.548832,42.548832,0.4334096,-0.033600114,-42.555557,-46.248116,11.095564,-10.034718,86.15938,43.396317,0.49803942,0.017245006,0.17331508,-42.725826,42.725826,0.5895481,-3.006205,-42.74744,-53.807503,0.0020839733123779298,89.1220555305481,10000
57.264645,0.40866208,0.013830118,0.14202577,-56.71768,56.71768,0.12734823,-43.92041,-56.74205,-66.706436,0.72054684,-0.89669186,14.188563,55.405373,0.45661688,0.017363062,0.13445836,-54.775124,54.775124,0.40533537,0.41266513,-54.790497,-66.747734,0.0020313032150268556,99.27857732772827,15000
65.73388,0.41884527,0.014847588,0.12916057,-65.16656,65.16656,0.383211,-0.1591542,-65.230644,-72.80396,10.958952,-9.592979,73.71916,66.28406,0.3827966,0.015214722,0.15436795,-65.749115,65.749115,0.4464842,0.07537274,-65.87558,-72.992836,0.0020687196731567384,109.62218022346497,20000
73.68901,0.4057516,0.0148510495,0.12988283,-73.13475,73.13475,0.2831435,-0.40066344,-73.188896,-81.2638,5.913827,-3.5670638,43.49231,73.8893,0.4478643,0.014400775,0.15588683,-73.297424,73.297424,0.5769602,0.65610766,-73.38539,-80.70687,0.0021200153827667235,120.22226309776306,25000
78.37745,0.38189912,0.017310072,0.13735262,-77.82245,77.82245,1.118814,-0.7395302,-77.96283,-85.0305,11.559993,-7.3424,79.503845,77.1908,0.40954703,0.017700756,0.15131384,-76.60425,76.60425,0.46380395,-0.16186093,-76.7301,-85.17999,0.0021809651374816896,131.127094745636,30000
82.36978,0.36339808,0.02389053,0.124730945,-81.76748,81.76748,0.6683914,-0.19324091,-81.95683,-89.06041,8.872823,-5.576766,59.579445,81.521935,0.44012523,0.02253541,0.13093364,-80.85645,80.85645,0.6610134,0.30372518,-81.05739,-90.54532,0.0022187368869781496,142.22078394889832,35000
83.16882,0.384665,0.025606144,0.15922485,-82.5281,82.5281,0.70401883,-6.5874796,-82.79393,-92.09944,6.4235234,-5.0758286,57.56199,82.038445,0.39287454,0.023112334,0.13995388,-81.414444,81.414444,0.61132574,1.3288181,-81.659935,-92.17824,0.002244381046295166,153.44269490242004,40000
85.06824,0.34538105,0.01904627,0.12636492,-84.532394,84.532394,0.6610235,-1.7807429,-84.70269,-95.309166,10.99314,-5.9188447,75.75949,85.88801,0.38299784,0.021237522,0.13378018,-85.29263,85.29263,0.4722662,-1.3639467,-85.47012,-94.63229,0.002259859228134155,164.74199676513672,45000
85.52597,0.38420036,0.019038279,0.12154433,-84.951385,84.951385,0.5350865,-0.2255507,-85.08129,-97.85943,4.935774,-7.4867735,55.51519,84.96993,0.39889702,0.022578659,0.12546805,-84.345245,84.345245,0.6419038,-1.4816769,-84.57453,-96.9547,0.0022693747520446776,176.08887648582458,50000
86.62206,0.36057734,0.020245329,0.113534674,-86.05903,86.05903,0.23222694,-1.3310941,-86.2471,-98.93146,1.9340234,-2.9548016,23.280628,85.41836,0.4055406,0.020483142,0.121948585,-84.80798,84.80798,0.2858306,1.3592067,-85.01773,-99.2794,0.002279296684265137,187.485365152359,55000
86.75001,0.38123906,0.02255413,0.13590547,-86.14323,86.14323,0.24776803,-1.2992772,-86.391426,-99.85228,2.0339298,-3.0825126,24.711758,85.95676,0.39347032,0.023313995,0.12455292,-85.33015,85.33015,0.3942148,-2.5802329,-85.53923,-100.07334,0.0022939045906066892,198.9548933506012,60000
87.28576,0.36852723,0.01977564,0.12321688,-86.719475,86.719475,0.21640421,-0.39661652,-86.846535,-100.959076,1.7450902,-1.4054668,22.18041,87.81134,0.35612673,0.021177597,0.123965256,-87.24344,87.24344,0.21872723,-0.29554206,-87.41669,-101.01958,0.0022964778900146482,210.43728852272034,65000
87.88255,0.30945146,0.018806105,0.1056671,-87.38504,87.38504,0.24584816,-1.0975378,-87.568054,-101.57981,0.9070017,-1.5635427,20.776249,87.567245,0.38184434,0.021018494,0.12146332,-86.97522,86.97522,0.34218717,1.2485867,-87.19701,-101.6758,0.0022979023933410643,221.92680597305298,70000
90.01947,0.34058276,0.015957382,0.13196334,-89.51931,89.51931,0.20570493,-29.183615,-89.65817,-103.04008,4.9245396,-2.7393749,40.034367,86.68268,0.4604194,0.021327415,0.14088169,-86.00899,86.00899,0.44504315,-0.29253143,-86.2093,-101.60094,0.002299917554855347,233.4263994693756,75000
89.78953,0.34911934,0.018257037,0.12312132,-89.257835,89.257835,0.3142453,-2.7170312,-89.48328,-103.36461,2.2193546,-2.47684,24.587275,87.99721,0.41001087,0.017831646,0.121573865,-87.40888,87.40888,0.7776098,-0.92350525,-87.592514,-101.39864,0.002302082395553589,244.93681693077087,80000
87.74375,0.3822345,0.020907614,0.12525663,-87.15244,87.15244,0.39894658,-1.6293509,-87.39986,-101.58971,4.0510263,-1.8028542,36.802055,89.09665,0.36406428,0.024270153,0.1304768,-88.48988,88.48988,0.60960996,-0.03186348,-88.705475,-101.82065,0.002311047601699829,256.4920606613159,85000
86.942665,0.29375285,0.024731992,0.10737006,-86.401596,86.401596,0.4313169,-27.936897,-86.676544,-102.34079,3.2094936,-1.4887438,24.162596,86.608315,0.34791112,0.02946057,0.13438344,-85.9658,85.9658,0.7136046,0.7124804,-86.2549,-103.886345,0.0023160187244415285,268.0721592903137,90000
85.27126,0.37058833,0.028209759,0.12211564,-84.618576,84.618576,1.0026898,0.48012322,-84.97772,-104.3073,2.8475506,-2.2561777,44.768497,83.64673,0.38431588,0.033062946,0.1413008,-82.931786,82.931786,1.2162945,0.8156452,-83.281265,-105.06058,0.002317075252532959,279.65754079818726,95000
81.63904,0.37801784,0.02811766,0.11205607,-80.97984,80.97984,0.89487123,0.5050596,-81.28232,-103.72544,3.3984861,-2.8663945,36.972595,80.67592,0.38722047,0.029785953,0.13845934,-79.99084,79.99084,0.6500259,-1.7627385,-80.34396,-104.25122,0.002320652961730957,291.2608108520508,100000
81.97727,0.31617516,0.022769123,0.10829527,-81.4334,81.4334,0.49835128,-18.644125,-81.75363,-103.701065,3.1643558,-5.593602,42.85714,80.775536,0.35988486,0.023896793,0.11682029,-80.17668,80.17668,0.44936633,-0.4562357,-80.478676,-103.836334,0.013176582717895508,357.14372873306274,105000
83.784966,0.39390182,0.022576235,0.11422753,-83.1653,83.1653,0.2521299,-24.781303,-83.38948,-104.10519,1.9609468,-3.053289,21.94537,82.48968,0.39485002,0.023946935,0.123877965,-81.855354,81.855354,0.40632272,0.116633445,-82.053635,-103.121414,0.00205259051322937,367.4066860675812,110000
84.765236,0.3698356,0.023242246,0.12532735,-84.16298,84.16298,0.2781626,0.21412256,-84.43358,-104.03824,1.7876737,-0.9960499,21.995007,83.36469,0.37302357,0.026057946,0.108387396,-82.73109,82.73109,0.64245784,0.26117462,-82.92486,-102.38969,0.0021235732555389404,378.0245568752289,115000
82.696884,0.33416,0.02789103,0.11483869,-82.08382,82.08382,0.62034243,-0.58602005,-82.42506,-103.85795,1.2554195,-2.735145,24.604166,82.48242,0.3755682,0.024182908,0.11799294,-81.86502,81.86502,0.6964399,-1.2390704,-82.087265,-103.950615,0.0022059821128845216,389.0544719696045,120000
84.95896,0.39089242,0.021341208,0.13255063,-84.35466,84.35466,0.32670337,-0.8158826,-84.553604,-101.59191,1.4651793,-0.88617915,18.646908,83.4323,0.39415836,0.030789472,0.12249695,-82.73025,82.73025,0.8289485,-6.285956,-83.02431,-102.33332,0.00225173397064209,400.31314730644226,125000
